SAMPLE_ID,ATS
TCGA-DJ-A3UM-01,-0.13828211538461538
TCGA-DJ-A3UN-01,-0.19002442307692308
TCGA-DJ-A3UO-01,-0.028012884615384613
TCGA-DJ-A3UP-01,-0.20113576923076923
TCGA-DJ-A3UQ-01,0.15589615384615385
TCGA-DJ-A3UR-01,-0.2510925
TCGA-DJ-A3US-01,0.06405403846153845
TCGA-DJ-A3UT-01,-0.26035903846153846
TCGA-DJ-A3UU-01,-0.08444288461538461
TCGA-DJ-A3UW-01,0.10096730769230769
TCGA-DJ-A3UX-01,-0.189695
TCGA-DJ-A3UY-01,0.042310192307692306
TCGA-DJ-A3UZ-01,-0.14205692307692308
TCGA-DJ-A3V0-01,0.07264903846153846
TCGA-DJ-A3V2-01,-0.011795961538461538
TCGA-DJ-A3V3-01,-0.15886673076923077
TCGA-DJ-A3V4-01,-0.1756646153846154
TCGA-DJ-A3V5-01,-0.04890173076923077
TCGA-DJ-A3V7-01,-0.17993615384615386
TCGA-DJ-A3V8-01,-0.10174692307692308
TCGA-DJ-A3V9-01,-0.11741461538461538
TCGA-DJ-A3VA-01,-0.15241596153846154
TCGA-DJ-A3VB-01,0.03585153846153846
TCGA-DJ-A3VD-01,0.8000353846153846
TCGA-DJ-A3VE-01,-0.056741730769230773
TCGA-DJ-A3VF-01,0.41589423076923077
TCGA-DJ-A3VG-01,-0.2571009615384615
TCGA-DJ-A3VI-01,-0.13346903846153846
TCGA-DJ-A3VJ-01,0.19103326923076921
TCGA-DJ-A3VK-01,-0.18166307692307693
TCGA-DJ-A3VL-01,-0.1674075
TCGA-DJ-A3VM-01,-0.13076192307692308
TCGA-DJ-A4UL-01,-0.1609875
TCGA-DJ-A4UP-01,0.174675
TCGA-DJ-A4UQ-01,-0.07780903846153846
TCGA-DJ-A4UR-01,-0.20527673076923078
TCGA-DJ-A4UT-01,0.16522346153846154
TCGA-DJ-A4UW-01,0.029499615384615385
TCGA-DJ-A4V0-01,0.033783653846153845
TCGA-DJ-A4V2-01,-0.020256346153846153
TCGA-DJ-A4V4-01,-0.15729807692307693
TCGA-DJ-A4V5-01,0.6035009615384616
TCGA-DO-A1JZ-01,-0.006963461538461535
TCGA-DO-A1K0-01,-0.17083288461538462
TCGA-DO-A2HM-01,1.1990867307692308
TCGA-E3-A3DY-01,-0.1785923076923077
TCGA-E3-A3DZ-01,-0.1538805769230769
TCGA-E3-A3E0-01,-0.08178192307692307
TCGA-E3-A3E1-01,-0.16778346153846155
TCGA-E3-A3E2-01,0.6587194230769231
TCGA-E3-A3E3-01,-0.13842826923076923
TCGA-E3-A3E5-01,-0.14395961538461538
TCGA-E8-A242-01,0.1713675
TCGA-E8-A2EA-01,0.2962903846153846
TCGA-E8-A2JQ-01,0.7152669230769231
TCGA-E8-A3X7-01,-0.10599634615384616
TCGA-E8-A413-01,0.1979623076923077
TCGA-E8-A414-01,0.12709692307692308
TCGA-E8-A415-01,-0.18352576923076924
TCGA-E8-A416-01,-0.12196538461538461
TCGA-E8-A417-01,-0.18857115384615383
TCGA-E8-A418-01,0.15302019230769232
TCGA-E8-A419-01,0.18396519230769232
TCGA-E8-A432-01,0.3019980769230769
TCGA-E8-A433-01,0.02959173076923077
TCGA-E8-A434-01,-0.11553442307692308
TCGA-E8-A436-01,-0.006059038461538462
TCGA-E8-A437-01,-0.08492230769230769
TCGA-E8-A438-01,-0.14522961538461537
TCGA-E8-A44K-01,-0.07598615384615384
TCGA-E8-A44M-01,0.3534923076923077
TCGA-EL-A3CL-01,-0.15766403846153845
TCGA-EL-A3CM-01,-0.008578269230769231
TCGA-EL-A3CN-01,0.056410961538461535
TCGA-EL-A3CO-01,0.32274615384615385
TCGA-EL-A3CP-01,-0.14985423076923077
TCGA-EL-A3CR-01,0.4517326923076923
TCGA-EL-A3CS-01,-0.17245134615384616
TCGA-EL-A3CT-01,0.016278846153846154
TCGA-EL-A3CU-01,0.08823692307692307
TCGA-EL-A3CV-01,0.48927615384615386
TCGA-EL-A3CW-01,0.6732251923076923
TCGA-EL-A3CX-01,1.0093011538461538
TCGA-EL-A3CY-01,1.2945480769230768
TCGA-EL-A3CZ-01,-0.32045096153846153
TCGA-EL-A3D0-01,-0.1523298076923077
TCGA-EL-A3D5-01,-0.003000769230769229
TCGA-EL-A3D6-01,0.28443903846153845
TCGA-EL-A3GO-01,0.3533178846153846
TCGA-EL-A3GP-01,2.4757453846153847
TCGA-EL-A3GQ-01,0.006758269230769234
TCGA-EL-A3GR-01,-0.0032786538461538456
TCGA-EL-A3GS-01,-0.08167538461538462
TCGA-EL-A3GU-01,0.24673173076923077
TCGA-EL-A3GV-01,0.019703269230769233
TCGA-EL-A3GW-01,-0.14310307692307692
TCGA-EL-A3GX-01,0.03795711538461539
TCGA-EL-A3GY-01,-0.0286775
TCGA-EL-A3GZ-01,-0.03904846153846154
TCGA-EL-A3H1-01,-0.17262346153846153
